Den	Čas	Přednášející	Název	Anotace	Učebna	Kapacita
Pondělí 16.3.	08:30	Lukáš Březina	Kyberbezpečnost	"TikTok, Instagram, Snapchat…  
Každý like, story a „fun“ filtr může být další dílek skládačky, kterou ti někdo složí do dokonalého podvodu.

Řeč bude o tom,  jak tě nejenom sociální sítě a lidé za obrazovkou okrádají o identitu –  a jak se tomu bránit. Součástí bude diskuze/možnost ptát se na otázky z oblasti kyberbezpečnosti."	Sekunda	40
Pondělí 16.3.	08:30	Jan Rak	Fyzika	Jan Rak je český jaderný a kvantový fyzik, který se zabývá výzkumem částicové fyziky a dlouhodobě pracoval na projektech v organizaci CERN ve Švýcarsku. Působil také jako profesor na univerzitě ve finském městě Jyväskylä. Vystupuje také na přednáškách a médiích, kde mluví o kvantové fyzice.	Sexta	40
Pondělí 16.3.	08:30	Jiří Došlý	Dopravní podnik hl. m. Prahym,	Ing. Jiří Došlý. Několik let se věnoval problematice projektů spolupráce veřejného a soukromého sektoru (PPP projekty) v oblasti dopravní infrastruktury na Ministerstvu dopravy. Od roku 2010 působí v Dopravním podniku hl. m. Prahy, kde zodpovídá mimo jiné za zahraniční i tuzemské profesní vztahy. 	Tercie	40
Pondělí 16.3.	10:15	Jiří Hynek	Investigativní novinařina	V žurnalistice působí již od 90. let, většinu své kariéry se věnoval tématům korupce, justiční mafie a organizovaného zločinu. Dlouhodobě se věnuje především rozkrývání ruského vlivu v České republice. Po odchodu z České televize roku 2024 založil investigativní web Odkryto.cz. Držitel ceny Novinářská křepelka (cena udělovaná mladým novinářům). Téma přednášky bude obecně z oboru investigativní novinařiny	Sekunda	40
Pondělí 16.3.	10:15	Antonín Peták	Finanční gramotnost	"hám digitálního světa.
Dotkneme se také historie peněz, principů odpovědného úvěrování, nejčastějších triků online podvodníků a krátce i témat investic a kryptoměn — bez přehnaných očekávání, zato s důrazem na realitu.
Cílem je poskytnout studentům praktické informace bez zbytečné teorie a ukázat, jak se vyhnout rizikům v online i offline světě."	Sexta	40
Pondělí 16.3.	10:15	Petra Klabouchová	Spisovatelství	Autorka knih Prameny Vltavy, U severní zdi: Přišel čas platit účty za padesátá léta a Ignis fatuus, která je i v maturitní četbě. Její kniha prameny Vltavy se umístila na prvním místě mezi nominovanými publikacemi na cenu Johanna Steinbrennera v kategorii Beletrie/Poezie. Kniha Ignis fatuus byla v roce 2025 nominována mezi tři finalisty magnesia litera za fantastiku.	Tercie	40
Pondělí 16.3.	12:20	Patrik Koláček, Michal Flekač	Letečtí dispečeři	Na této přednášce bude studentům představena funkce leteckého dispečera, následně si budou moci ve workshopové části vyzkoušet, jak takové plánování letu funguje, a to od přijetí nového letu až po jeho odlet.	Tercie	40
Pondělí 16.3.	12:20	Pivovar Staropramen	Sládek	Přednášejícím bude sládek z pivovaru Staropramen. Je to 2. největší český pivovar, s tradicí přes 150 let sídlící v Praze. Vyváží pivo až do 30 cizích zemí. 	Sexta	40
Pondělí 16.3.	12:20	Eva Kudová	Neurologie	"Na přednášce se podíváme, jak se z přírodních steroidů v hlavě stávají moderní léky na deprese, epilepsii, poruchy autistického spektra, nespavost nebo poranění mozku – a proč někdy tyto látky můžou mozek naopak rozhodit. Ukážeme si i roli vitaminu D jako mozkového steroidu a to, proč hormony během puberty, těhotenství nebo menopauzy tak dramaticky mění prožívání světa.
Přijďte zjistit, jak malé molekuly, o kterých většinou vůbec nevíte, potichu rozhodují o tom, jak se cítíte, jak spíte, jak se soustředíte – a jak by z nich jednou mohly být chytré aktualizace pro mozek budoucnosti."	Sekunda	40
						
Úterý 17.3.	08:30	Dominik Strouhal	Bitcoin a další kryptoměny - dávají pořád smysl?	Ekonom, expert na kryptoměny, bývalý ředitel Liberálního institutu, bývalý politik a bývalý ředitel českého a slovenského Ludwig von Mises institutu	Tercie	40
Úterý 17.3.	08:30	Jiří Hrdý	Mikrobiom ve zdraví a nemoci 	Přednosta Ústavu klinické imunologie a alergologie 1. lékařské fakulty Univerzity Karlovy a Všeobecné fakultní nemocnice v Praze	Sexta	40
Úterý 17.3.	08:30	Jakub Tomšej	Slibuje právo víc, než dokáže splnit?	Přednáška se zaměří na tři konkrétní oblasti, kde se tento problém jasně ukazuje. Mzdová transparentnost a rovné odměňování: proč máme na trhu práce tolik různých nerovností v odměňování, i když zákon jasně říká, že za stejnou práci náleží stejný výdělek? Segregace Romů ve školství: evropské soudy ji opakovaně odsuzují, přesto se romské děti stále častěji ocitají ve speciálních školách a třídách. Kde selhávají právní nástroje? Manželství pro LGBT osoby: zatímco většina členských států EU tuto kapitolu již dávno uzavřela, Česko zůstává pozadu i přes výraznou podporu veřejnosti. Je to jen otázka času, nebo fundamentální spor o povahu manželství? 	Sekunda	40
Úterý 17.3.	10:15	Miloš Škorpil	Ultrarychlostní běh	Ultramaratonec a zakladatel běžecké školy. Propagátor a trenér běhu. Třikrát oběhl Českou republiku. Maraton nejrychleji zaběhl za 2:33:18	Sexta	40
Úterý 17.3.	10:15	Martin Soukup	Antropologie	Martin Soukup je český kulturolog a kulturní antropolog. Od roku 2016 je zaměstnán na Fakultě sociálních věd Univerzity Karlovy. Je členem American Anthropological Association. Je laureátem Ceny Neuron pro mladé vědce 2017	Sekunda	40
Úterý 17.3.	10:15	Petr Pelikán	Orientalismus	Arabista, íranista, paštunista a islamolog, překladatel, tlumočník, diplomat a vysokoškolský pedagog. Honorární konzul Súdánu v ČR. Veterán z války v  Perském zálivu (1990–1991). Během roku 2021 působil jako poradce předsedy vlády pro migraci. Téma přednášky zaměřené na islám.	Tercie	40
Úterý 17.3.	12:20	David Navara	Šachy	David Navara je přední český šachový velmistr (titul od roku 2002) a mnohonásobný mistr České republiky. Dlouhodobě patří mezi světovou špičku, přičemž jeho nejvyšším umístěním v žebříčku FIDE bylo 13. místo v říjnu 2006. Je známý pro svůj vysoce kreativní herní styl.	Sexta	40
Úterý 17.3.	12:20	Nadia Rovderová	Galeristika	Nadia Rovderová je galeristka, kurátorka, fotografka, publicistka a také influercerka na sociálních sítích. Narodila se v Popradu a na Univerzitě Komenského v Bratislavě vystudovala žurnalistiku. Od začátku devadesátých let žije v Praze, kde v roce 2010 založila galerii Artinbox, která se stala nezávislým a otevřeným prostorem pro začínající i renomované české umělce, zahrnujícím celé spektrum výtvarných forem. Přednáška se bude hlavně zabývat galerií, jejím vznikem, managementem, ale záleží na zájmu přítomných :).	Tercie	40
Úterý 17.3.	12:20	Gabriela Kahoferová	Erasmus a studium v zahraničí	Odbornička na mezinárodní komunikaci a mezinárodní etiketu. Zabývá se např. specifiky různých kultur a jejich vlivy na profesní znalosti a komunikaci nebo kulturními aspekty při vyjednávání. Vystudovaná religionistka a ekonomka. Dlouhodobě žila v Izraeli. Na příští školní rok je s ní domlouván seminář o ekonomii a mezinárodní komunikaci na naší škole.	Sekunda	40
						
Středa 18.3.	08:30	Martin Ladecký	ak nezisková organizace v oblasti zdravotnictví roste na více než 70 tisíc uživatelů	Tech lead v německé bance Commerzbank. CTO aplikace Loono. Dobrovolník v Česk.digital. Před tím pracoval 9 let jako Tech lead v Air Bank.	Tercie	40
Středa 18.3.	08:30	Radek Bartoníček	Novinařina	Celý dosavadní život se věnuje novinařině. I když žije a pracuje v Praze, za svůj domov považuje moravské Slovácko, kde má své kořeny. Ve volném čase se do tohoto kraje vrací a zachycuje vztah místních lidí k práci, krajině, lidovým tradicím a víře. Řadu let pracoval v MF DNES, kde psal převážně o politice. V posledních letech je zpravodajem a reportérem webu Aktuálně.cz se zaměřením na dění v nejvyšších patrech politiky. Hodně se ale pohybuje také v terénu, kde mapuje proměnlivé nálady i emoce voličů. Kromě psaní také fotí a natáčí videa. Publikuje rovněž vlastní video komentáře z „české politiky a novinařiny proti lži, nenávisti a blbé náladě“.	Sekunda	40
Středa 18.3.	08:30	Vítězslav Škorpík	ak objevujeme planety mimo Sluneční soustavu? 	Popularizátor fyziky a astronomie, dramaturg popularizačního přednáškového cyklu Pátečníci, konající se každý pátek na Přírodovědecké fakultě UK v Praze.	Sexta	40
Středa 18.3.	10:15	Sylva Horáková	Lékaři bez hranic	Ředitelka české kanceláře Lékařů bez hranic. S organizací se zúčastnila misí v Kyrgyzstánu/Kazachstánu a keňském Nairobi. V letech 2014–2019 pracovala pro organizaci Člověk v tísni jako ředitelka Centra pro lidská práva a demokracii. Spolu se svými kolegy podporovala disidenty a lidskoprávní aktivisty působící v zemích s restriktivními režimy. Příležitostně jezdí do zahraničí s OBSE pozorovat volby jako mezinárodní pozorovatelka. 	Sekunda	40
Středa 18.3.	10:15	Zuzana Hübnerová	Chronobiologie (denní rytmy, spánek, modré světlo...) 	Chronobiologie je vědní obor studující časovou organizaci biologických procesů a cyklické jevy (biorytmy) v organismech, odvozené od slunečních či měsíčních rytmů. Zkoumá vlivy na tělesné, duševní a emocionální funkce, zejména cirkadiánní rytmus (24hodinový cyklus). Klíčovou oblastí je regulace spánku a bdění hormonem melatoninem.	Sexta	40
Středa 18.3.	10:15	Karel Eliáš	Právo	Právník, komercionalista a hlavní autor současného občanského zákoníku (89/2012 Sb.). Profesor v oboru obchodního práva. Člen vědecké rady Akademie věd ČR, Ústavu státu a práv AV ČR a právnických fakult v Praze a Olomouci. Člen legislativní rady vlády ČR. Na přelomu let 2011 a 2012 uveden do Právnické síně slávy. Pravidelně publikuje v odborných právnických časopisech.	Tercie	40
Středa 18.3.	12:20	Daniel Dvořák	Od bodybuildera k náboženství	Daniel Dvořák byl 2x mistr světa, 2x mistr Evropy, 11x mistr České republiky, mistr Anglie, Izraele a Rakouska, vítěz Evropské ligy v powerliftingu. V průběhu svého života se však dostal k náboženství a o svém příběhu vám popovídá v rámci přednášky. Zabívá se i zdravím, spánkem a dělá stále i osobního trenéra.	Sexta	40
